,State,Title,Year,epa,epa_change
0,Alabama,Total Agriculture (annual),2012,115536715.28841151,
1,Alabama,Total Agriculture (annual),2013,117997596.6004675,2460881.31205599
2,Alabama,Total Agriculture (annual),2014,116706469.579843,-1291127.0206245035
3,Alabama,Total Agriculture (annual),2015,112914228.28168952,-3792241.298153475
4,Alabama,Total Agriculture (annual),2016,113277254.497673,363026.2159834802
5,Alabama,Total Agriculture (annual),2017,117681562.899814,4404308.40214099
6,Alabama,Total Agriculture (annual),2018,118503544.340819,821981.4410050064
7,Alabama,Total Agriculture (annual),2019,118520099.99848476,16555.657665759325
8,Alabama,Total Agriculture (annual),2020,118279795.0857,-240304.91278475523
9,Alabama,Total Coal Mines (annual),2012,399327763.8492353,
10,Alabama,Total Coal Mines (annual),2013,387960925.0507524,-11366838.798482895
11,Alabama,Total Coal Mines (annual),2014,361560531.7880304,-26400393.262722015
12,Alabama,Total Coal Mines (annual),2015,281137852.8460943,-80422678.94193608
13,Alabama,Total Coal Mines (annual),2016,237913636.90473533,-43224215.94135898
14,Alabama,Total Coal Mines (annual),2017,245014755.13982132,7101118.235085994
15,Alabama,Total Coal Mines (annual),2018,268957547.9647583,23942792.824936956
16,Alabama,Total Coal Mines (annual),2019,240389731.80137223,-28567816.163386047
17,Alabama,Total Coal Mines (annual),2020,215033705.2185112,-25356026.582861036
18,Alabama,Total Methane (annual),2012,856673118.1224961,
19,Alabama,Total Methane (annual),2013,849023024.077824,-7650094.044672132
20,Alabama,Total Methane (annual),2014,855659112.4131839,6636088.335359931
21,Alabama,Total Methane (annual),2015,735363241.1002882,-120295871.31289577
22,Alabama,Total Methane (annual),2016,685419168.546816,-49944072.55347216
23,Alabama,Total Methane (annual),2017,701885364.5122559,16466195.965439916
24,Alabama,Total Methane (annual),2018,755110730.441728,53225365.92947209
25,Alabama,Total Methane (annual),2019,732854859.119616,-22255871.322111964
26,Alabama,Total Methane (annual),2020,693623796.220928,-39231062.89868808
27,Alabama,Total Natural Gas Systems (annual),2012,141105528.305752,
28,Alabama,Total Natural Gas Systems (annual),2013,137460966.827754,-3644561.4779980183
29,Alabama,Total Natural Gas Systems (annual),2014,135043063.978344,-2417902.8494099975
30,Alabama,Total Natural Gas Systems (annual),2015,136620949.038086,1577885.0597420037
31,Alabama,Total Natural Gas Systems (annual),2016,134925766.37373,-1695182.6643559933
32,Alabama,Total Natural Gas Systems (annual),2017,134689513.19468603,-236253.17904397845
33,Alabama,Total Natural Gas Systems (annual),2018,139929782.683622,5240269.488935977
34,Alabama,Total Natural Gas Systems (annual),2019,142764448.19452798,2834665.510905981
35,Alabama,Total Natural Gas Systems (annual),2020,136330111.235392,-6434336.959135979
36,Alabama,Total Other (annual),2012,13164161.7558515,
37,Alabama,Total Other (annual),2013,13907429.3387985,743267.5829470009
38,Alabama,Total Other (annual),2014,13535633.42754,-371795.91125850007
39,Alabama,Total Other (annual),2015,12826144.709286,-709488.718254
40,Alabama,Total Other (annual),2016,12296748.920023,-529395.7892630007
41,Alabama,Total Other (annual),2017,10240279.4553385,-2056469.4646844994
42,Alabama,Total Other (annual),2018,10821803.39888575,581523.9435472488
43,Alabama,Total Other (annual),2019,10834948.0359395,13144.637053750455
44,Alabama,Total Other (annual),2020,10248438.132649,-586509.903290499
45,Alabama,Total Petroleum Systems (annual),2012,2535567.065024,
46,Alabama,Total Petroleum Systems (annual),2013,2818525.21504,282958.150016
47,Alabama,Total Petroleum Systems (annual),2014,2895368.633344,76843.41830400005
48,Alabama,Total Petroleum Systems (annual),2015,2635348.177408,-260020.45593600022
49,Alabama,Total Petroleum Systems (annual),2016,2288048.02888,-347300.1485279999
50,Alabama,Total Petroleum Systems (annual),2017,2087897.756944,-200150.2719360001
51,Alabama,Total Petroleum Systems (annual),2018,1861101.219712,-226796.53723199992
52,Alabama,Total Petroleum Systems (annual),2019,1884479.009152,23377.789439999964
53,Alabama,Total Petroleum Systems (annual),2020,1945785.020928,61306.01177600003
54,Alabama,Total Waste (annual),2012,185003361.286733,
55,Alabama,Total Waste (annual),2013,188877565.553123,3874204.266389996
56,Alabama,Total Waste (annual),2014,225918036.0731415,37040470.52001849
57,Alabama,Total Waste (annual),2015,189228722.0499725,-36689314.02316898
58,Alabama,Total Waste (annual),2016,184717698.67445952,-4511023.375512987
59,Alabama,Total Waste (annual),2017,192171372.53804803,7453673.863588512
60,Alabama,Total Waste (annual),2018,215036963.55735105,22865591.019303024
61,Alabama,Total Waste (annual),2019,218461155.202439,3424191.6450879574
62,Alabama,Total Waste (annual),2020,211785967.2636985,-6675187.938740522
63,Arizona,Total Agriculture (annual),2012,131308037.319968,
64,Arizona,Total Agriculture (annual),2013,129928174.611456,-1379862.7085119933
65,Arizona,Total Agriculture (annual),2014,129161589.02806398,-766585.583392024
66,Arizona,Total Agriculture (annual),2015,126152493.468928,-3009095.5591359884
67,Arizona,Total Agriculture (annual),2016,127064096.513664,911603.0447360128
68,Arizona,Total Agriculture (annual),2017,132968564.54806398,5904468.034399971
69,Arizona,Total Agriculture (annual),2018,133949912.74025598,981348.1921920031
