,State,Year,category,Title,TotalEmissions,shortName
0,Alabama,2012,Agriculture,Enteric Fermentation (3A),95329819033600.0,Enteric Fermentation
1,Alabama,2012,Agriculture,Field Burning of Agricultural Residues* (3F),234288807936.0,Field Burning
2,Alabama,2012,Agriculture,Manure Management (3B),19972604559360.0,Manure
3,Alabama,2012,Agriculture,Rice Cultivation (3C),0.0,Rice
4,Alabama,2012,Coal,Abandoned Underground Coal Mines (1B1a),61982801920.0,Abandoned Underground
5,Alabama,2012,Coal,Surface Coal Mining (1B1a),8462496956416.0,Surface
6,Alabama,2012,Coal,Underground Coal Mining (1B1a),390803302121472.0,Underground
7,Alabama,2012,Natural Gas Systems,Distribution (1B2b),12151266738176.0,Distribution
8,Alabama,2012,Natural Gas Systems,Exploration (1B2b),566332948480.0,Exploration
9,Alabama,2012,Natural Gas Systems,Post Meter (annual),10049923579904.0,Post Meter
10,Alabama,2012,Natural Gas Systems,Processing (1B2b),1476542201856.0,Processing
11,Alabama,2012,Natural Gas Systems,Production (1B2b),93401210945536.0,Production
12,Alabama,2012,Natural Gas Systems,Transmission & Storage (1B2b),23460252221440.0,Transmission-Storage
13,Alabama,2012,Others,Abandoned Oil and Gas Wells (1B2a & 1B2b),577675132928.0,"Abandoned Oil, Gas Wells"
14,Alabama,2012,Others,Ferroalloy Production (2C2),0.0,Ferroalloy
15,Alabama,2012,Others,Mobile Combustion (1A),2667499487232.0,Mobile Combustion
16,Alabama,2012,Others,Petrochemical Production (2B8),0.0,Petrochemical
17,Alabama,2012,Others,Stationary combustion (1A),9918986846208.0,Stationary combustion
18,Alabama,2012,Petroleum Systems,Exploration* (1B2a),88214323200.0,Exploration*
19,Alabama,2012,Petroleum Systems,Production (1B2a),2305364852736.0,Production*
20,Alabama,2012,Petroleum Systems,Refining (1B2a),118771630080.0,Refining
21,Alabama,2012,Petroleum Systems,Transport (1B2a),23216328704.0,Transport
22,Alabama,2012,Waste,Composting (5B1),2036749828096.0,Composting
23,Alabama,2012,Waste,Domestic Wastewater Treatment & Discharge (5D),11530651303936.0,Domestic
24,Alabama,2012,Waste,Industrial Landfills (5A1),19328816644096.0,Industrial Landfills
25,Alabama,2012,Waste,Industrial Wastewater Treatment & Discharge (5D),23985676877824.0,Industrial
26,Alabama,2012,Waste,Municipal Solid Waste (MSW) Landfills (5A1),128121466519552.0,Municipal
27,Alabama,2013,Agriculture,Enteric Fermentation (3A),98239961366528.0,Enteric Fermentation
28,Alabama,2013,Agriculture,Field Burning of Agricultural Residues* (3F),255912345600.0,Field Burning
29,Alabama,2013,Agriculture,Manure Management (3B),19501718437888.0,Manure
30,Alabama,2013,Agriculture,Rice Cultivation (3C),0.0,Rice
31,Alabama,2013,Coal,Abandoned Underground Coal Mines (1B1a),31639719936.0,Abandoned Underground
32,Alabama,2013,Coal,Surface Coal Mining (1B1a),6432388284416.0,Surface
33,Alabama,2013,Coal,Underground Coal Mining (1B1a),381496913297408.0,Underground
34,Alabama,2013,Natural Gas Systems,Distribution (1B2b),12149881569280.0,Distribution
35,Alabama,2013,Natural Gas Systems,Exploration (1B2b),1620047691776.0,Exploration
36,Alabama,2013,Natural Gas Systems,Post Meter (annual),9098078715904.0,Post Meter
37,Alabama,2013,Natural Gas Systems,Processing (1B2b),1696113229824.0,Processing
38,Alabama,2013,Natural Gas Systems,Production (1B2b),89155384115200.0,Production
39,Alabama,2013,Natural Gas Systems,Transmission & Storage (1B2b),23741459333120.0,Transmission-Storage
40,Alabama,2013,Others,Abandoned Oil and Gas Wells (1B2a & 1B2b),591099396096.0,"Abandoned Oil, Gas Wells"
41,Alabama,2013,Others,Ferroalloy Production (2C2),0.0,Ferroalloy
42,Alabama,2013,Others,Mobile Combustion (1A),2629672370176.0,Mobile Combustion
43,Alabama,2013,Others,Petrochemical Production (2B8),0.0,Petrochemical
44,Alabama,2013,Others,Stationary combustion (1A),10686657724416.0,Stationary combustion
45,Alabama,2013,Petroleum Systems,Exploration* (1B2a),128129286144.0,Exploration*
46,Alabama,2013,Petroleum Systems,Production (1B2a),2542450769920.0,Production*
47,Alabama,2013,Petroleum Systems,Refining (1B2a),121842802688.0,Refining
48,Alabama,2013,Petroleum Systems,Transport (1B2a),26102437888.0,Transport
49,Alabama,2013,Waste,Composting (5B1),909764591616.0,Composting
50,Alabama,2013,Waste,Domestic Wastewater Treatment & Discharge (5D),12747124244480.0,Domestic
51,Alabama,2013,Waste,Industrial Landfills (5A1),19398563725312.0,Industrial Landfills
52,Alabama,2013,Waste,Industrial Wastewater Treatment & Discharge (5D),25492228931584.0,Industrial
53,Alabama,2013,Waste,Municipal Solid Waste (MSW) Landfills (5A1),130329885016064.0,Municipal
54,Alabama,2014,Agriculture,Enteric Fermentation (3A),96360359526400.0,Enteric Fermentation
55,Alabama,2014,Agriculture,Field Burning of Agricultural Residues* (3F),261292752896.0,Field Burning
56,Alabama,2014,Agriculture,Manure Management (3B),20084810579968.0,Manure
57,Alabama,2014,Agriculture,Rice Cultivation (3C),0.0,Rice
58,Alabama,2014,Coal,Abandoned Underground Coal Mines (1B1a),18040381440.0,Abandoned Underground
59,Alabama,2014,Coal,Surface Coal Mining (1B1a),4830340841472.0,Surface
60,Alabama,2014,Coal,Underground Coal Mining (1B1a),356712133427200.0,Underground
61,Alabama,2014,Natural Gas Systems,Distribution (1B2b),11514190757888.0,Distribution
